tweet,class
 probabl  mind school much  deal bitch ass teacher retweet,0
 im fuck fag said,0
arizzleindacut femal think date pussi cute  stuff make pussi,0
 simplyaddictedtoguy  woof woof hot scalli lad,1
adorebellaaa ya ever ask bitch bitch  kany voic yes,0
adorezoey u gone bring ur side bitch game know ya gf friend   swear,0
allaboutmanfeet  woof woof hot sole,1
allyhaaaaa lemmi eat oreo amp dish one oreo lol,1
almightywayn jetsandaswish gook bitch fuck u  mayb youll get better ,0
almightywayn fuck red malon man bitch ass niggah could pleas use complet sentenc,0
 eggplant emoji doey say look like scream lmao,1
autoworid hennessey venom gt   that one sexi bitch,0
bossbytchh seh pussi wetter shower curtainahmesehwetnessltlmao,0
 eaglesn everi eagl need see pic post bitch said racist shit,0
bvsedchink yo fuck skateboard yall wood push faggot man ball life amjemiebenn,0
babyanimalp babi monkey bathtim awwww soooo ador,1
baylaagottabodi  aint shit  damn skippi lol,0
beeasyjrizzi u ever kill ant sidewalk think damn nigga way get pussyno bs must b ,0
beenbasedb kudabrazyy   ring  mvps  bitch lol,0
beenflynsolo ppl talk bad ghettohood  kid grow nigga funnnnnnn ,0
bestproadvic fact tattoostattoo  hes pussi tattoo nippl,0
  rt nelayden bitch want act like nigga bad  shit aint cuteeee nigga act like bitch,0
 get worship bitch  woof woof,0
blackchiquitita wow rt thatmanpalm im lost buttcheek pierc  yeah shes hoe,0
blacknerdjad ok sis shed rather broke bitch shrug shell tell work,0
 whalelookyher  queer gaywad,0
brokenpiecesmsc itsnotadam faggot read tweet dat k wasnt even funni lol,0
brosconfess bitch ungrat  fr  lulwhor,0
cashandboobi kidnap yo bitch,0
 whitethunduh alsarabsss hes beaner smh tell hes mexican,0
ccobey aydanmccoy happi birthday nig thank yo,0
chlldhoodruin ur teacher tell u u homework  bitch need go,0
   nigga eat hoe lol hell yea lol john paul nigga said john paul ,0
canifuckornah would yall lil ugli bald head bitch stop make makeup amp weav,0
 leaf better win damn game go riot shit earlychristma better start loot nig,0
causewereguy go back school suck dick hoe attend,0
causewereguy way fuck yo bitch   year old,0
celeynichol whitethunduh come never bring food dont car retard,0
chadmfverbeck richnow doesnt show hella tinder hoe im friend anymor chill brought like like  propl,0
chandlerparson bout cowboy shutup pussi,0
clicquotsuav lmaooooooooooo nigga krillznuhcar  ltbitch want like depress shitfoh,0
coleyce lilaerii girl know spit g shit amp go lbvsbitch plz,0
coleyce let make coupl tweet cuzzo page wont get twitter jaillmao bitch dont trick,0
comedypost harlem shake excus go full retard  second,0
comedytruth amen miley   dont need act like hoe bc shes emot damag foh,0
corybandz one loyal femal wayyyyy better hoe  idc ,0
crhedri pussi lick pussi meow meow   ,0
dbabholloway check  man cowboysn even faggot ny fan stand,0
dgotbrick happen vixen ent bitch got ran threw side like foothil bitch,0
daedavidavi whitethunduh im bitch okay nude pat  wow,0
devilgrimz vigxrart your fuck gay blacklist hoe hold tehgodclan anyway ,0
diamondloudkush fuck wrong bitch nobodi know,0
 yall shut upp make bitch,0
dionairish hate im pregnant type bitch,0
doyouq got bitch dm dont ever readem top ,0
domworldpeac basebal season win yanke love start,1
dommoneek littl stupid bitch dont fuck yoooooouuuu,0
dreadheadari realli ask dead ass serious tho could say bitch wheet lol,0
dunderbail im earli bird im night owl im wise worm,1
edgarpixar overdos heavi drug doesnt sound bad tonight pussi shit everi day,1
 pit bull photograph love fairi tale creatur fairi tale creatur,1
ferociousghost  aw fag dont tweet aw lol,0
 long laker trash could careless that real cc benbal hahaha,1
frosstyy  didnt say anyth tho kiss faggot,0
funnypicsdepot play soccer cheat girl wear khaki colour cargo haircut   yup,1
 could go fat ass bitch lap,0
gedmell  miss call  yo po bitch twitter finna screamn freemoneymell,0
gtmal ya side bitch gotta know rule shitanybodi ask cousin jersey thinkin bout move lmmfao ,0
    amo los pie  fuck yeah,0
girlthatsvont hoe think meat wont slap ass  ainna bruh,0
girlthatsvont yall bitch wit edg talk ,0
girlthatsvont yall still go trick treat year nahhel yeah ima da sweet tooth bandit steal bitch bag n shit,0
girllssu wanna sex mom fuck right pussi came damn got hack like fuck,0
 kiss u eye open watch bitchlmfao,0
goofstroop woulda coulda shoulda ass hoe ,0
gottiltf happi bday bitch ass nigga jetsandaswisherpreci bitch roll,0
hbmostdop  pipinho use send bitch,0
hbmostdop ugli bitch like im wcw duh bitch aint nobodi ,0
halotgmg  nigga know hacki sack hoe nah throw look pass lmao,0
heartlessfuck glad im get outta atlanta noth bunch nigga amp outta jail amp dumb bitch mad kid fuckin em,0
hermosaalma isnt ghettoit smart  im idc,1
hiimjorib would wife hoe cuz wouldnt care cheat forc relationship first place,0
hornyfact singl isnt excus hoe theonemissluu,0
 white boy power bitch black power bitch,0
 let get drunk get blow spit shit spark blunt amp fuck hoe bro white dude chill,0
iscoutgirl verballyabrupt bitch u around world back,0
itsyahboiray anelylov dont get dick suck yo parti bad bitch im fr gone set  anelylov ,0
itsyesi oomf soooo cute probabl hoe lot,0
 everi cartoon alway  save hoe lmao  lmao damn captain saveaho,0
jreebo want get nose bad boi scalli chav sockfetish stink  hot sox leg,1
jamesynba wish bitch like brother keezi  ooooow bet,0
jasminepor dress cat halloween basic pussi,0
jewelxo pornhub get game stream featur dumb bitch gtfo pornhub get ,0
joebudden stop scare choke sex u bitch ass nigga  like say guy hit women bed foh,0
 whitethunduh ha well iguess make hoe loyal bro theyll never loyal hoe nig,0
kazatta  oh man  molli ho fuck ya seed fix,0
kelsiebelsi your man refer everi girl bitch,0
keyshawnswag lmfao cat start beat shit nigga final got pussi nigga,0
keyshawnswag peel peel bring back rewind back im move shaq line ooooow tf said trash,1
kingcuh  io io alu record ho vine sai pe hahahaha lol anywaaaaaay haha,0
 vondreaam naw old tape new cover  upcom mixtap kingofthehil yeah im wait hoe mayn,0
kingteej ol dirti foot ass bitch funni,0
 whitethunduh that get yellow flag amaz  hell yeah niggi,0
kissmysmile dont got time bitch actin iffi,0
knightfann ucfpinkparti come stay aliv knight nation still earli bird special comeatmeut,1
kyranadiya hoe aint loyal  aint smfh amp wonder nobodi decent want,0
lcistj bruh stud keep think im soft hell ask ya girl mani time scream bitch oh okay stfu bye hoe,0
lodycash dri pussi bitch alway blame ,0
lunarap shut yo bitch ass  ,0
laflaregodjosh gucci mane jail drop mixtap everi month hoe cant even text back,0
latrobemark love hoe money wat wrong nigga,0
lebronvuitton loyal bitch burb without daddi issu like find holograph mewtwo sound like lol,0
lilfridayho easi cum easi hoe that fact ,0
lifeasbro charli sheen real  major fuck respect charli sheen,0
lightskingawdd wish bae  got hoe tho,0
 fuck twerk bitch cook ,0
linniekravitz wesgodlaflar bitch wtf ,0
lipethegreat  lipethegreat shut zoe fight  zoe im good man good maam move along,0
lolaaisdop lmao fuck snake bitch  em,0
loveableaizah big booti hoe everywher sheesh  damn ,0
mlbnetwork stay tune mlbnetwork updat report yanke    week  bum,1
mrad  play soccer cheat girl wear khaki colour cargo haircut  yes ,1
madflyentist oregon choke everi year get field trash ass program rft,0
mannydiesel def cowboy lol rt artoffloyd terrel owen best eagl amp cowboy ever dude cri like bitch tv romo,0
markroundtreejr lmfaoooo hate black peopl  there black peopl nigger,0
  gabrielastarr could u bitch potent,0
  piss lad past would lick dirti sole slept,1
  love frat boy w soft long sole,1
  sexi lad hot sole arch,1
megamindnick whitethunduh nah fam gotta cheat hoe depend femal feel,0
meshanoja vontethekidd  got hick lol,1
migsmichelen new twitter confus shit go back south america bitch,0
 toto mean ass vaginai think pussi caus toto santi like nasti pussi,0
mikelahenri actual choos ugli bitch  ass must fat,0
mileycyrus bitch couldnt kill vibe ya tri  dis love miley ,0
montrel im tire bitch say look mean  nigga big af wear tight shirt grim everybodi,0
motherjon  bird grandkid may never see thank climat chang   climat,1
mvckfadden stay beauti bitch,0
nickiminaj wutkindar purpl ceeeleeeman gurl jus playin stupid hoe  track still shit sum gurl,0
nastycopp money get taller bitch get blurri,0
newsomejad aint never seen bitch obsess  im obsess mine ,0
 kobe stay talk trash let forget   meant one smh,0
nochillpaz least im nigger lmfao,0
nofakingg peopl alway ask im mix bad asian bitch lol,0
 whiteponyjr ariza snake coward least isnt crippl like hero roach lmaoo,0
osayitaintso  foster home imaginari  whoa chillthat show everyth tf,1
officialreplay lowkey tire tire quiet go sleep hoe,0
prayingforhead  stop bring weird nigger mention  ,0
prettybossbrat dont love hoe ,0
patrickquelo yo girl cant homeboy ol weak bitch ass nigga,0
  think worst advic gave  dont pussi speed lol,0
poemsporn quot tweet favorit animalpussi,0
poeticsuccess hate stripper tell theyr dancer hoe ballet dancer dont pop pussi beethoven stripper,0
poffalici andrewbry poff doubl vision  beerspoff  doubl pussi  smh,0
poobi bitch twerk computerm ya  ya damn ,0
prodsjewel   peacepunkprinc princ art  nobodi takin bitch,0
  welfaregovern aid claim white peopl yall black slander trash,1
 bitch dont care play role,0
queenkaaat took find hide lime treeiemonaid dis bitch da wrong tree bro,0
rtnba drake new shoe releas nikejordan yes there glitter shoe  dude fag,0
rachiesoul dizzleoffici inna di ghetto alon lmaoo,1
ramboutit   ramboutit hoe  teach us austini teach u get curv that know,1
reachtheeclimax bitch cant cook know suck dick  one,0
renegademo fat hoe get chose lol,0
riahsm hoesaintloy well theyr hoesno one expect loyal,0
rishaawilliam treshonscroog nevertrustt ol bitch ass ,0
rnadjorel bruh im tire nigga retweetin miley cyrus nake bitch aint type bad lmaooo,0
sactownprodigi toni romo mav game dont mean still bitch lmao fuk cowgirl lol bitch fuck,0
samjlayman  holi shit freddi highmor charli chocol factorym roll floor laugh,0
samirahus dont want sex gf feel like im use  anonym whata faggot,0
sexualgxf  one follow    somebodi bitch dont,0
shaajenkin ya bitch alway bitch clear care annoy bitch,0
shantaughth catfish hoe thinkin slick nigga catch ,0
shewenttojordan cant worri bitch aint worri bout real,0
showarr side hoe insecur nigga cant handl real one,0
shunstok   lmao bitch come scoot tent like fuck shit ,0
shunstok cousin said share hoe brother said share care love brother ,0
slimgirlprobz im hungri ionn wanna spend money  hoe problem ,0
smeegbabi dese hoe lyin us nigga,0
snakecharmsdump  oh yeah fuck bitch,0
sportscent eli man threw nfllead  intercept season lmao trash,1
sportscent usc senior rb anthoni brown call head coach steve sarkisian racist quit team   hes bitch,1
stellatex guess also zero time mansplain adio stfu pussi,0
stephenwildboy chill   sexi scalli lad,1
strap aint share bitch mine mine ,0
sukmysweet money impress simpl broke bitch,0
sylvieamx pisc never anybodi bitch dont let peopl control chang rigghhht,0
teejonez  kingcuh tuku ho idk blah blah blah ,1
teejonez kingcuh  im mad cuh hahaha suur tuku ho ita ,1
tayknosbest hoe crazi,0
taylorrbabe aint ever gonna slice bitch kevin hart ,0
thatniggatroy oomf fuckin fine tho  dam  dont bitch,0
thegamerkingkev wonder girl gave head  boy drink magaluf twitter probli send nude fag,0
thenewsat newsatquestionsyeah bitch yeah bitch call maybeb steveoc laterd jess pinkmanmachinegunkelli,0
thenymphotweet hicki thigh right pussi gtgtgt right,0
theonemissluu would still love im longer young beauti ugli monkey ass,0
 jetsandaswish gook yall come frontbitch aint come,0
 jetsandaswish faggot bitch ,0
therealistsam  yea im ipad dont work friday let ball faggot tropicalblanketi work ,0
  scalli lad would get,1
theomaxximus gerryshalloweenparti  halloween yesterday stupid nigger,0
theomaxximus chrus still supahot tho walk teacher test drop test bitch fohead ,0
  love eat pussi lol never get full  eat shit forev lol ever,0
tmaccgfg  tmaccgfg  slush  nasti anyway  hoe tast like ,0
tmaccgfg  slush  nasti anyway ,0
tmaccgfg bobbi bitchbi  get live fuck hell yea play hoe workout,0
trelekidd yo bitch gucci mane rt jabarithegreat  bitch stoner  ,0
tweetgamelazi ride bitch handl bar,0
tyjoncuffe aint hoe get traphoussseeee,0
uberfact  sad tv charact death still bitter   stark man,1
unholyjack harbor bitch parti bus hoe lol,0
  pussi love,0
veronikahumbert ultraviol video come littl bitch mtvhottest lana del rey  bitchi promo,0
vineforthebyrd way fuck bitch lmfao kittycopt,0
wbur smuggler explain help fighter along jihadi highway ,1
wbeezi quathegreat aww avi look cute togeth    gotta get ike avi bitch ,0
wbeezi rundrc simpl dont hoedont worri expos  fight mewhi ,0
wannabekany whys bitch boost size isnt exact healthi tho,0
withaprettyfac  bet bitch   kim bye,0
xxpdotjdot damn near gotta protect tweet stalker annoy got dope dick drive bitch loco,0
xojennygirl im make marack girlfriend  marackaf aye b pullin hoe like taught,0
xoxoangie bruno fag boy love,0
yehitsvon  must   sike naw alway beef ,0
yanke  yanke look ralli bottom  rallycap,1
youngricooo  dont take advantag nice  hoe everyjuan,0
youngricooo happi birthday bitch nigga  thank pal,0
youngricooo sad know hoe wont fuck bc aint got stack wait till friday,0
yungmigo  cinco shit harder fucc niggaye fucc wit rich homi cuz dat ya homeboy fucc nicca,0
  ewww said last sundaya last sunday read ,0
badab punch real nigga face caus pussi nigga gonna punch right back strong mush shake,0
beedontcar pussi still fresh lt someth stank girl say,0
geewillik ass slap one greatest thing haha  slap girl ass  got mad aint get pussi week,0
tommycollin wearerichnow buffalobil yeah texan much better fuck retard see your mad,0
malibubarbi nd wtf dark bitch blond pleas sever seat hoe look like blackampmild,0
sugga there lane bitch need stay  left n get right fuck outta face ,0
sneakyb hate boy deni bitch  smh,0
taradis ya nig still say yall dont eat butt straight face,0
yourewelcom im boss ass bitch need sit corner,0
iwantfranni hes hoe  cant,0
 paul thinkin bout gettin rental da weekend  shit bitch betta stay da street,0
rapdream bitch hold nigga get lock nigga go colleg militari differ stori ,0
simplycaitlin friend hate ratchet hoe,0
adriwadrri love fuck nigga hoe,0
 hot meat  sexi fuck scalli lad would love meet trainer,0
 sniff  perv scalli lad fuck yeah,0
 bitch love sosa,0
alexissixela  legit watch   second  wtf prob caus retard smh,0
allisonnamaya name cat idea mr pussi,0
  woof woof sexi thug boy scalli,0
ambitiousbre  u see damn phone ring  marri bitch make demand havent call,0
analicialouis tevin favorit sophomor think hes funni hes realli lmaoo hes littl hoe,0
angelenagoley  sex posit   u call fuck soul outta bitch ,0
ashlingwild itsnotadam bore suppos cute faggot sometim,0
ayyeecee one man trash  anoth man treasur ,1
babineaux dont got type bad bitch thing like iongotnotyp,0
bigbootybishopp whitethunduh lassen cc  coach want feel youll get nig doubt,0
bleedingtrap god teeth  gold chainwhit bitch  cocain,0
cheetahbluntz hoe  shhhhh,0
chieflottaho dc call roller chiraq call thot across america known hoe,0
 im gonna miss bitch bus driverno wont dont lie,0
 hate bitch tri put friendzon bitch im tryin score put endzon  soul,0
complexuk ashley young tri deni bird land mouth gt   hahaha,1
datfullerkid trevaughnlg yall gimp aint tht bitch huh lol,0
deepthroatmik boyssouth take ride   woof woof,1
demieggleton oh god love victoria mitchel bitch love,0
djsliim long distanc shit wack knew bitch cheat uh oh,0
fiirt hes right   bitch smh,0
 ban dat pussi life amp gotta pay  millon dollar fine,0
fuckcamoclark rose red violet blue nigger black know that true ,0
 sit window sill window open bird tri fli smack protecttheanim peta,1
glowstruck nigga gon nigga nigga sound fuckin retard,0
greggutfeld video entir media like mock  crybabi,1
gurlimangi itskiaraaaa westyourmajesti im even shi stfu kiki mom hi angeliqu angeliqu smile dip cracker soup,0
haitiangold tim tebow got cut everi team nfl alreadi got hoe starkvill smh ,0
hazelebabi karma bitch damn godprotectshisangel  tea,0
hornyjhb fuckin hot gym pussi  fuck yeah,0
hxhassan jihadi patron hajjaj alajmi arrest kuwait airport ,1
iampickuplin call fireman caus turn hoe,0
icrawley could never bbi lil dick thts got abort last bitch oh god,0
idntwearcondom watch women tri argu like dick actual fuck pussi hate bitch,0
ilgdaili smoke weed public fuck cop man wanna dont run come retard,0
itrapwatermelon tweeti bird tho ,1
irlfatti pussi sweet like watermelon thotermelon,0
itscoleharmon twitter rapper dm trash link ,1
jsadass loud bitch annoy,0
jacaxeltlu eventu everi bitch turn hoe  truuu,0
jaimescudi tonybthrz jaimescudi swear oomf tri talk tomorrow  barackobama pussi,0
jamajam bitch pretend tf crazi aint never lie,0
jasmyncynique whitethunduh k bye hoe um bye ,0
jayswaggkillah jacki retard blondeproblem least make grill chees,0
 ima keep give pussi ass nigga ah reason hate ,0
jethromass photo  sole heaven,1
jgabsss stacey dash   baddest bitch evaaaa,0
juicyyyjayyyi side bitch sunday  ,0
 fact baldhead bitch made shit  lmao ,0
kayreneee fuck wit us tweakin hoe shmurda,0
kazooook actin like  day wesgodlaflar ,1
kikistfu ill break lil bitch neck wont even feel sorri savag,0
leikant fuck hot scalli sneakersex sockfetish sniff trainersex  love kinki scalli,0
likemicah yall dumb ass nigga press hoe yall weak fuck fuck weed hoe oreo,0
lildurk turn yo bitch eaterrrrrrrrr,0
lildurk dont trust dese hoe nikki told  stay fan screen shot asap finna come chiraq shoot sumn,0
marackaf  aye yall ima tryout bowl team  tryout pass tho there two retard,0
 u got u want bitch  enjoy  crazi parti would love attend,0
metroadlib color contact eyesblind minecaus cant see lmao,1
michellewestt fact poonsoak dude hoe say dont got  ,0
midywidey im rea start smack bitch period  bluffin best,0
molssyo life bitch die that get high caus neva know your gonna go sister perfect ,0
molssyo one us drug your still wrong  currieburri hahahahahahah im bitch sometim ,0
morgandayle im feel pretti fuckin ghetto smh,0
   dejaaleeann  swear im  man easili easili behind austin nip,1
obeyjrock true ride die bitch   fuck hahahahah,0
oldpicsarch hgwell charli chaplin  histori photographi,1
ortizjaylen see bruno bitch ass twitter wtf bruno see drake voic,0
ozziegarza whitethunduh im cool faggot chill tf cool nigga,0
ozziegarza whitethunduh im sure bitch frfr tf,0
poppunksuck twitter sourc news broadcast fuck retard nbc abc cnn fox etc keep quiet,0
queendulaaa got coupl bitch say know  let money talk  im like wwyd,0
realfort grudg weirdosand bitch,0
rhythmixx told mariam cigarett birthdayyou also call trash rn,1
riananewman  browni tonight kind,1
 text back dont give fuck ill text anoth bitch damn someon hurt lol,0
ronaldiongi ummmmmm okay  got hoe left right  yah thang,0
royalswagg use ymxb find slope ass,0
rugbysocklad fit lad nice gear  scalli lad n trainer would get,1
rugbysocklad hell yeah bro  fuck yeah sexi scalli lad hot gear,0
rugbysocklad help mate  love scalli play fuck yeah,0
rugbysocklad lad lad  fuck yeah love scalli lad action hot trainer,0
savagetwoton next year bitch gonna like gotta promis wont expos ,0
scallynikelad  hot rt opcinjen lick bitch  fuck yeah eat trainer u dirti fucker,0
sierrabernia  yall think celebr pussi differ local  yeah meghan good,0
sleepyyongguk saw ajumma walk begin say wow trash cant even listen  lmaoo,1
sniffsockslad need sox  fuck yeah love kinki scalli lad w rank sox sneak,0
 dont ever expos femal like that childish bitch nigga shiiii,0
socass  socass yassstri new thing bestfriendbitch love,0
socass dude rememb wop video   omg find,1
soxandjox thick raw fuck  damn man pussi get workout,0
soxdawg rawr rt skinrubberboi sexi french scalli love frenchscal  sexi scalli woof woof,1
splurgb nothin life free bitch need write ya ,0
stephencdo currieburri one bitch want burrito u catch potosino huh haha,0
talibanshawtyy nigga whole hoe cuz couldnt said ,0
theaveragerock hardcor way eat mac  boil water  snort chees  drink boil water  fuck bitch,0
thebravebird yourenotmytyp fade perpetu fresher that real ass bitch rite,0
thejudyann annoy bitch love  judyann pretti,0
thotmouth lmao bitch got huggi,0
trestiff hi bitch bitchby bitch ,0
trutherbot look like bitch elcapacitor,0
whoiscoreyk chase money   hoe  ,0
whooligan cant stand dont know want ass nigga  bitch,0
wiganzlad markycrumb gmailshort im way  love chavhot sexi scalli fucker,0
witmyrudeass newli gay bitch dont kno shit work,0
witmyrudeass bitch dont want real job becom stripper lol lol,0
 awww meat meat feelinsi ainn n feel bitch,0
 want snake bite  industri piercin amp tattoodem hoe accessori dea ,0
worldtravei babi albino   ,1
worldwarze hoe aint loyal,0
xoxoclauudia yassssss order chines  bitch ate taco fat fuck,0
 made bitch lunch elizabethbatman bitch love lunch,0
brainerbut soon bitch get rich polit power view changepolit whore ,0
pussi day keep devil away doperthanyola,0
aint bitch mean,0
bitch want babi dont want children,0
bitch must lost ,0
babi like left side bitch cant cuz street side twitter said aint real,0
bae sound like ghetto word use someth els,1
batter wee cunt jewi cos fuck ex emma isnt batter girl ive nailed move onstop pussi n urself,0
bleed hoe alexa,0
boolin bando wit bitch,0
browni browni love movi ,1
need bad bitch that hotter might realist shit partynextdoor ever said that feelin everyday,0
way punch bitch,0
caesar home rt naewoodst   much bitch look like let start ape ,0
chines maverick communic comrad  u know give imperialist yank birdi ,1
dad say hi snapchat dad  duce bitch ,0
believ hoe fact loyal disagre believ fact loyalest bunchthes hoe,0
dont know ugli bitch dont know broke niggaskeving,0
dont make make fall live nigga like meee bird  favorit song weeknd,0
dont worri nigga see worri nigga dont see dat da nigga fuckin yo bitch,0
dont ever give pussi away keep tight alright,0
drop stack caus bitch im  song call dopedownload mixtap ,0
dumb bitch dumb thing,0
eat pussi like real nigga hungri,0
eff let go crippl ,0
everyth look better bitch next,0
facto shaunasayomi care hoe ass look like ,0
everi bad bitch nigga tire fuck,0
foreign chick lie man bitch beauti,0
fresh nigga kno need clean bitch kno im work cuz wanna see team rich ,0
fuck  make rule suck dragon ball bitch call goku,0
generat ascii box nodej see abil bring flappybird node via ascii tube bird  ,1
get shit bitch fine bear,0
get ass back detroit ya fuckin wigger,0
girl date okay aint mad yo unless stab heart love hoe,0
know twitter password bitch pleas,0
seen show seen hoe wasnt hot would thick,0
bitch hit hoe ,0
marri white woman lucki sumbitch  uncl ruckus,0
wanna nigga im trinna save account   omg imma funni ass bitch man that real shit ,0
great grandma hoeher grandma hoeher mom hoe shes hoe long line hoe grandpa carl everyon,0
hey go look video man found kidnap girl ohiowhat nigger  shitmybosssay,0
hey pussi still,0
draft gungho folk send afghanistan war zone show ,1
hotter bitch,0
u talk hoe bout bro n em talk hoe bout bro n em,0
crazi bitch hilari,0
know shoe dirti fuck whatev bitch dont calllik negro one first thing look shoe dog,0
thrill billywith hillbilli heart billyraycyrus hahahahaha jesus murphi,1
call bitch makennam,0
cant handl liquor bitch cant handl meeedd  chief sosa,0
dont chase dude chase bitch  edgar bautista,0
dont love hoe babi forev,0
dont even need pictur tamar bitch beat everi ,0
dont hoe ,0
found new way chug open mouth alot shitallysay,1
fuck hate bitch much wanna smack face tongu kiss,0
got bitch set like jada picketqueen latifah ride round niec bitch titi,0
got sister told stop call women bitch,0
guess night bitch die stewi nigga,0
bitch bitch bitch eat halibut  iamyoungroc freshrhym jerksquad slowstir,0
ladylovesh marri still wanna bang hersh wont sex mewhat bitch troubadour probabl,0
heard look candi man bitch,0
hope dont get mad ladi call bitch bitch bc dont know name individu katt william letmicahdown,0
got number  im bitch boy,0
know shit eatin grin either fuck girl dream sold car know your faggot whatd ,0
older men caus theyr maturethat suppos fool us bitch,0
prolli leav bitch cup hand yo hand hand,0
said dont like tast like wolf pussi even know tast like,0
taught eat pussi cut hairi taught eat pussi  movi ,0
use dress like cop toooh reallyyeahright  pussyreallyyesil never forget,0
went jail flock amp came home wit strike went jail bitch came home dike yg,0
fuck u u stand u dizzi bitch two uniqu amp separ phrase overheard relat say younger,0
woke like thi bitch go back bed,0
would rather call bitch sir manag,0
ill beat pussi hard,0
ill slit throatneck ,1
im funki ass honkey  jtimberlak shout macklemor tonight cabaret  ,0
im compar kfc pussi ,0
im download new person order new face bitch love goddamn axl rose yell sex robot,0
im feelin like malcolm middl bitch surround cant miss em,0
im gonna piss dimpl  stop wast prayer trash team lol,0
im probabl main bitch chocol dip cinnamon appl,0
im sick shit man jonniesantana sit bitch ass im fed bro rt  geno threw yet anoth pick smh,0
im sorri fuck yo bitch realli dig nigga kingl,0
ib irrit bitch syndrom,0
love hide yo bitch youll keep shortywizkhalifa,0
talk back aint get pussym ,0
your bad bitch put hand high everi girl room start wave hand around,0
imma tie bitch basement donkeyfuck ass two week straight hahahahahahahahaha  beforeiselfdestruct,0
mindgotta dumb hoe anthem,0
albino mexicanno dad hes asian,1
take true direction accept larri know bitch fan like make boy cri thankyoupaulforconfirminglarri,0
alleg u bedroom u see word naiv amp blind bitch know ur husband cheat u ramona dumb,0
never late tag bitch cyfyr,0
dyke hunter dyke dyke ,0
julia robert your ho  nottinghil,0
follow yellow brick twitter,1
lmfaoooooooooooooooooo bbbrook pussi good mama  like guess gotta  mama,0
lol crippl  wendi davi rt mailonlin scientist creat remotecontrol chick studi shi penguin ,1
let nip ahoy spank mayb,0
let kill cracker babi wtf hear wow,0
like correct im wrong doesnt pimpin involv smackin bitch money,0
lmao   rt  pound cake look like pussi  ,0
lmao swillalo drose adida lighter phone  shit retard,0
mam  doet haar rol net ze ongesteld wat ongesteld van dat soort vragen waar je denkt hoe leg ik die weer uit,1
mayb want friend mayb shes stupid bitch never know make cum ,0
mine play dmx kirk franklin smh justcallmebrit well neighbor ghetto  get like  beat kid,1
grandma use call porch monkey time come think refer broken bottl nigger knife ,0
momma told tell mind yoooo damn motha fuckin busi  knowin bitch,0
nip freeeeezingand that okay theyr slice ,0
twitter hack  im pussi admit said want act like never said,0
nah girl aint gon abl make tight sinc russ loss job back like damn bitch realli,0
nah nomeekjustmilz  yo thought  photoshop face faggot smmfhi hate yall ,0
new flame song yr lol bitch super run like,0
nigga alway yell fuck bitch get money meanwhil theyr broke still want ,0
nigga press pussi eeeeeen nothin,0
bitch   nan,0
boat hoe pleas thank  mom,0
ovo  amp kendrick lamar still ,1
top pregnant ass sorri hoe aint never got money even water broke   riptallt,0
coupl red sox gotten past first base im die laugh mayb yank need teach game,1
peopl time aryan race  stand say mongerl turn world ghetto slum ,0
